name,adsorption
acmpcd_P1_H,0.5585642327
acolip_P1,2.0595716792
acolub_P1,3.2961110595
adasij_P1,10.0411658558
afenux_P1,2.7453e-05
afotof_P1,3.5822586979
afovat_P1,3.6658315174
agedic_P1,3.1284582705
ahetak_P1_H,4.9711407286
ajagoi_P1,1.0034993073
ajoveb_P1,0.2356362455
akedif_P1,3.8979347671
alurab_P1_charged,1.8286700038
amafok_P1,1.5359188431
anugog_P1,10.7593343879
arajek_P1,2.4776914276
asinib_P1,8.4843047311
asuwui_P1,2.4672780754
atajai_P1,2.7088882178
aticel_P1,2.2960402786
atotim_P1_H,7.679766804
atowiq_P1,6.0424839563
atoxen_P1,0.3162929363
aviveg_P1_charged,7.2624222505
awakeq_P1_H,1.3734553896
axipee01_P1,2.4124455887
axipee02_P1,2.3810213004
ayoqem_P1,4.9248119075
barleo_P1_charged,8.1336489845
batxig_P1,6.9216254896
bayqok_P1,1.4387077617
bayquq_P1,6.9719711873
beckay_P1,0.5785539357
beljil_P1,1.398868417
bepnuh_P1,3.0639076061
bepvoj_P1,1.7690867275
beqhud_P1,2.9054714005
beqjuf_P1_charged,1.2338236407
bethit_P1_charged,5.859134303
biknob_P1_H,6.2013262934
bimpev_P1,3.5371641043
binrun_P1,13.4499675823
binsau_P1,15.8382429222
biplaq_P1_H,10.8673011809
bipsuq_P1,17.2244450073
birbuc_P1_charged,1.3995705698
biytej_P1,1.7885500504
bombaj_P1,6.3670277417
botceu_P1,0.7350471555
boxfie_P1_charged,6.2280424967
boxrak_P1,1.701024259
bufnew_P1_charged_H,4.7589068993
bufnum02_P1_charged_H,6.4921692096
bukruw03_P1,5.7561112571
buktei_P1,5.7550933207
buwgac02_P1,1.3540029643
buwgac05_P1,1.3538088906
buwgac09_P1,1.3540029643
buwgac14_P1,1.3540029643
buwgac15_P1,1.3513220384
buwgac18_P1,1.3540029643
buwgac23_P1,1.3536057901
buxtiz_P1_charged,0.9559958965
cacbug_P1_charged,5.3325e-06
cajwan_P1_charged,3.211121198
cargua_P1,8.6544401917
cavrey_P1,4.690203305
caxtay_P1,6.5855952615
caydir_P1,1.3522047483
caygiu_P1,1.3800615462
caznic_P1_charged_H,2.1325307279
cecgup_P1,1.7987581905
cecvai_P1_H,7.0133314991
cefnot_P1,1.512814327
cekhil_P1,9.7885855659
ceyput01_P1,3.2988430721
cezcoc_P1_charged,5.5016097028
cezfiy_P1,1.4750249892
cezzen_P1,0.689793545
cilxih_P1_H,2.0731608403
cilxon_P1_H,1.9669837998
ciqhes_P1,1.6203717574
cirbud_P1,2.7417187787
cirtut_P1,1.0299132547
cixbuh_P1,3.3154996422
cocdeg_P1_charged,2.8085506204
codpix_P1,4.4928087194
coknib02_P1,4.546500215
coknun01_P1,6.1045550506
coknun_P1_charged,6.4103100773
cowruc_P1,1.9234031779
cubzil_P1,1.1932405969
cukxen_P1_charged,2.5394965065
cumsah_P1,8.160506679
cunfid_P1,1.8294762097
cuqrud_P1,5.6266051617
cuqsak_P1_charged_H,8.3869268197
