name,adsorption
qmof-0009829,8.2981423255
qmof-000dce3,11.6410396056
qmof-004080b,8.6405813707
qmof-004947a,0.8068984817
qmof-006f9b7,2.1424450934
qmof-0070c13,6.9174246153
qmof-008aa12,13.0007321993
qmof-0091bbc,0.0666484247
qmof-00980e4,8.3632754916
qmof-00a03b2,2.4666753524
qmof-00a1a50,3.4202225482
qmof-00aefa9,1.1321508306
qmof-00b7416,12.1742237249
qmof-00c8700,8.5325668263
qmof-00ce800,1.8859059746
qmof-00d09fe,4.5349135613
qmof-00daa63,0.0
qmof-00e335d,2.9556133765
qmof-00eae24,3.3220627507
qmof-00f0897,3.1303883337
qmof-00f7b5b,15.9981996597
qmof-00ff964,1.4393159066
qmof-01027d7,3.8771155807
qmof-010c828,3.1475825842
qmof-0111861,1.0876693362
qmof-0116630,3.5226953049
qmof-011c163,0.237032689
qmof-0138985,1.0981072405
qmof-0138e8e,2.5907176658
qmof-013919a,12.9137268849
qmof-013e062,2.7329429228
qmof-0142f6b,6.4840072081
qmof-0147aef,2.4018816388
qmof-0162289,11.3755163863
qmof-0166122,17.0930123724
qmof-017128d,4.4002657715
qmof-0180057,0.6897196703
qmof-0182c67,13.1807845968
qmof-0192eb2,2.7639120659
qmof-01931e7,4.1469846968
qmof-019cf08,2.4851340579
qmof-01a5958,4.7442218305
qmof-01ae350,0.4096592748
qmof-01be70a,1.1066020034
qmof-01d76cf,4.0196864147
qmof-01e3d00,5.6341750667
qmof-01ea939,18.9802082027
qmof-020271e,11.1150972004
qmof-0204d66,0.5497535142
qmof-0205f07,4.5186307303
qmof-020e5f6,5.7574571304
qmof-020f390,0.0014187678
qmof-0219702,0.6426840855
qmof-0221d3d,1.8803452388
qmof-023607b,1.8100312092
qmof-023bc51,0.9002537689
qmof-02592f2,15.6602823412
qmof-026f191,2.3228589738
qmof-02883dc,4.1943973593
qmof-029d2b0,6.9298992474
qmof-02c0106,0.0002646662
qmof-02c07e3,1.9077061263
qmof-02c7dcc,1.6498000994
qmof-02d0b18,4.325013135
qmof-02d2885,0.0
qmof-02d74bc,4.3497043408
qmof-02dd69f,12.683507851
qmof-02e0fb2,0.4203296626
qmof-02e17f1,6.3246246701
qmof-02e961c,1.4106609883
qmof-02ef78f,15.4501695337
qmof-02f3753,5.708085937
qmof-02f386f,2.894140631
qmof-02f9568,12.5528357782
qmof-031e1d8,6.4511377901
qmof-0337f66,1.3302625683
qmof-033e292,4.5433542985
qmof-033f4ac,3.0886481074
qmof-0340fcc,3.46475e-05
qmof-0359d3a,10.1545415935
qmof-035e8fd,7.7969031803
qmof-0360d63,4.9176954557
qmof-036187d,4.0718856299
qmof-037d5ed,14.1026834908
qmof-038aa2d,0.8876466387
qmof-03a39a4,0.0061627316
qmof-03acc57,0.8431808875
qmof-03b6f67,3.1261833771
qmof-03c6ba9,2.3159522864
qmof-03d0e0b,1.1864101462
qmof-03d81cc,11.8421972413
qmof-03dce70,0.747372091
qmof-03ddeb4,3.3391018767
qmof-03e3842,10.8847519173
qmof-03f205a,2.7361700522
qmof-03f51c0,0.1945868778
qmof-04009cb,2.0566300321
qmof-0475987,7.3862461625
qmof-04907e4,6.0923464186
qmof-0496546,11.6252148895
qmof-049a1ce,1.3454692075
qmof-04a1fed,18.2994008083
qmof-04a422b,0.8143844703
qmof-04b3122,4.2402328577
qmof-04b37b6,8.4045109161
qmof-04b4379,2.1382873688
qmof-04bf78f,8.7148972122
qmof-04c1119,4.951426789
qmof-04dd137,6.9419977893
qmof-04e23fc,8.426573019
qmof-04f1cc1,3.0749657394
qmof-04f3a5d,10.3209922478
qmof-04fb851,1.1368285987
qmof-0512788,0.1185201569
qmof-051e081,2.467178305
qmof-0523aea,0.0002111804
qmof-0528115,4.8765320265
qmof-0564294,3.7562112971
qmof-0565e78,9.0264464616
qmof-056750f,0.0
qmof-056d026,5.2359221379
qmof-0573de6,4.2229719246
qmof-058b1bf,6.6272826186
qmof-059275c,5.0233489391
qmof-0592de4,8.0235920811
qmof-05b0858,0.2771270356
qmof-05c65f8,12.361075018
qmof-05c81b9,6.8641638193
qmof-05cbfaf,2.0282513933
qmof-05cc789,0.7650988909
qmof-05d5e8e,0.0
qmof-05d6902,0.5201775243
qmof-05dc5b6,1.423235241
qmof-05e4efb,12.188104949
qmof-05e86f0,4.3266324708
qmof-05f5f6e,9.28574581
qmof-05f7938,1.3302270575
qmof-05fa79c,1.1067683929
qmof-0606ede,3.5530284448
qmof-061695a,0.6436665156
qmof-0625810,9.7774620087
qmof-0637865,13.5064717638
qmof-063efc4,5.1669927827
qmof-06447b5,0.7531726455
qmof-06527ff,14.8136015066
qmof-0660e3e,0.9241702674
qmof-06731c3,3.726279493
qmof-067a484,0.0
qmof-067b82c,11.783407392
qmof-0684a95,10.6894048387
qmof-06a973f,0.9890189548
qmof-06ab3b1,2.0410109001
qmof-06b7b00,0.2092098813
qmof-06bdce4,8.687209927
qmof-06caa98,6.7228855673
qmof-06d1650,8.8258767803
qmof-06d4779,6.1203237139
qmof-06e412e,9.5871165933
qmof-06edf43,0.000146129
qmof-06edf50,9.5139101043
qmof-07042a4,13.1622104183
qmof-070d551,4.2124327665
qmof-0713ee0,4.8681510607
qmof-071d192,6.5492656121
qmof-072c43e,11.5115133557
qmof-0743acf,5.5694254258
qmof-07498ac,1.4885797936
qmof-0749ed8,5.9166422599
qmof-0751ed8,2.0755352948
qmof-075218d,8.5040469614
qmof-07562e7,11.1376490056
qmof-076e8b4,3.9224182242
qmof-077f6af,6.6233360992
qmof-079672c,4.9776041684
qmof-0798d7e,14.0623300107
qmof-07a0248,10.7683487357
qmof-07c07d3,7.7665575069
qmof-07c0f40,6.3628577492
qmof-07cc468,4.4941261429
qmof-07d29e9,3.4312018142
qmof-07d6987,6.0714658929
qmof-07e6831,6.7434887883
qmof-07f54ba,0.6995320355
qmof-07ff199,1.2068248054
qmof-08021a9,1.1578577497
qmof-080c4cf,1.3850436621
qmof-0811e53,3.4995240663
qmof-0813a12,2.5810716185
qmof-082a0fb,23.3679782245
qmof-082b821,8.2051512145
qmof-083aea0,1.3475336071
qmof-0842c6d,1.8759964035
qmof-08696b5,1.5858233142
qmof-0880913,4.7635274134
qmof-0894383,6.0153285492
qmof-0894f45,1.0623591893
qmof-089c984,15.0288811313
qmof-089e2e8,8.9370958128
qmof-08a6002,3.4534044987
qmof-08a8daa,2.0186400819
qmof-08ad004,7.4186710624
qmof-08ad999,9.4603690943
qmof-08b42cf,2.7106445645
qmof-08cbfe6,3.2439376807
qmof-08cf08d,2.6753027761
qmof-08dfcd6,1.1269250584
qmof-08e7dd3,17.471735968
qmof-08e81c7,1.0745985127
qmof-08e86ed,9.1113430903
qmof-0908118,1.6450685155
qmof-090a52a,20.119109792
qmof-0918da7,2.852277971
qmof-0929129,1.3446174393
qmof-09319e1,15.0335713123
qmof-09376af,0.3317149803
qmof-09412cc,1.5164225486
qmof-0948bf5,2.4313375083
qmof-094c879,11.6798046422
qmof-096a6b8,20.9864900919
qmof-096b649,2.1083894115
qmof-096bf27,3.6814069824
qmof-096c27f,0.0
qmof-09816d2,2.0264051813
qmof-0993e19,7.0617883994
qmof-099c53d,4.9187373441
qmof-09ad581,2.18959e-05
qmof-09ba5e4,1.1559519153
qmof-09bb6ee,5.7455653919
qmof-09bc32a,2.5401885816
qmof-09cb905,5.6615539106
qmof-09da183,11.9234143392
qmof-09dc27f,0.0083110458
qmof-09e1d24,4.0259562222
qmof-09e46be,2.8864826626
qmof-09f0270,5.7433287248
qmof-0a05af4,10.4945235552
qmof-0a0bcfa,19.6594051428
qmof-0a253bb,1.4958176575
qmof-0a37810,6.079057118
qmof-0a3b765,6.6007219199
qmof-0a464a7,6.3278242174
qmof-0a513ec,0.8409899679
qmof-0a524db,1.326098857
qmof-0a59973,0.7866457187
qmof-0a64c16,16.4199672297
qmof-0a7a2fd,6.2719351906
qmof-0a980e2,4.4131979608
qmof-0aa02b3,4.2152679795
qmof-0aa539c,1.2318824058
qmof-0ab76f3,1.5765907029
qmof-0ac7a64,7.4789551673
qmof-0acccbc,16.5423710502
qmof-0ad522b,1.5262491457
qmof-0ae491a,5.0174725973
qmof-0aec438,8.5265939367
qmof-0afaf89,13.0943704111
qmof-0b08cba,11.6374814941
qmof-0b31a84,1.2936957807
qmof-0b3aaa4,1.581849632
qmof-0b45f96,1.6979940545
qmof-0b51679,21.9278409618
qmof-0b5e989,5.5162875646
qmof-0b65042,15.1649999117
qmof-0b6ef72,0.9301648886
qmof-0b70aa6,1.1587801838
qmof-0b7dc93,13.4483760947
qmof-0b8fec1,2.545536897
qmof-0b9c9b5,2.75215598
qmof-0bbddb3,8.9345493985
qmof-0bbe221,4.9309689901
qmof-0bbf75f,8.180843371
qmof-0bd4f7e,2.4971721583
qmof-0bdd243,1.053e-05
qmof-0be5a6f,1.7555245576
qmof-0be7420,0.9667258087
qmof-0c04920,2.185626728
qmof-0c2559f,0.2785990886
qmof-0c2ac6d,3.4782913388
qmof-0c315e8,14.3678264577
qmof-0c3a6da,13.110564827
qmof-0c405dc,10.0770874956
qmof-0c4972e,0.0
qmof-0c697c4,1.3345405855
qmof-0c8b198,1.3423242098
qmof-0c9058e,5.0226358666
qmof-0cb0659,7.2763765922
qmof-0cb7c52,10.4895863113
qmof-0cc0d1a,6.1013754069
qmof-0ccd82d,0.9812922326
qmof-0cced71,4.455098195
qmof-0cd15a7,1.2680811642
qmof-0cd28a2,1.0076936235
qmof-0cd4232,2.1478035552
qmof-0cd6df8,3.7235500335
qmof-0cd6fd3,2.3711691222
qmof-0cfa193,5.1337091778
qmof-0d1f757,0.0
qmof-0d2f6a6,8.2860806725
qmof-0d33b0c,20.9776753515
qmof-0d43f7f,3.0160695045
qmof-0d4a8eb,1.3472447625
qmof-0d50e07,4.7770432459
qmof-0d568f0,13.0374656201
